outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,catboost__raw,gbdt,flexible_kernel,0.00010114899515299654,3.517447835321716e-19,2.3319053812410937e-24,1.1212017400009923e-18,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.00014813670493015862,2.1158847658403774e-15,6.137641562502309e-20,6.6704916282622654e-15,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.00020274549708616278,1.0827467220467004e-12,1.0677567443691224e-16,3.402764273946093e-12,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.000256281905655523,6.620640114961528e-11,1.6366101694055525e-14,2.0662884213215594e-10,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.00031552492022015395,1.741058420312256e-09,9.661707759060477e-13,5.415263693730501e-09,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.00039113228117465656,3.52818663824961e-08,4.483798180337045e-11,1.0937336194782943e-07,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0004623457571667913,2.841598757120984e-07,6.873215453910084e-10,8.744791586016628e-07,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0005551144969013163,2.146669585096234e-06,1.0442029463309843e-08,6.52272772902615e-06,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0006750051924236589,1.3790568912724375e-05,1.4073643969483354e-07,4.145999835797005e-05,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0008146967170868673,6.14704071320093e-05,1.2475069159987195e-06,0.000181593771508807,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0009836873589885368,0.00020761637928699925,8.135455159434603e-06,0.0005954218109118484,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0012128550082269995,0.0005920561660369182,4.538155385315084e-05,0.001573738147900346,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0014776149690560476,0.0012303462606286222,0.00016068465093922594,0.002922075260359216,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0017900112862344112,0.0020468089649724086,0.00038742297245006893,0.004260469903155878,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0021627365198858585,0.002856912808952377,0.0006689354850419523,0.005493587529885591,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.002618082673807804,0.0034667477332977624,0.0009414214879255923,0.006547625332400492,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.0032669203028650334,0.0039775454635419625,0.001416254640643285,0.00710853523744947,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
P1,catboost__raw,gbdt,flexible_kernel,0.004151786198521817,0.005132548830564566,0.002233781784160713,0.008649240817525973,2000,2000,0,1900,ESTIMATED,0.33520513389171713,7504.0,107.0,7504,1.0,s0010
